match_minute	match_second	position_x	position_y	play_type	BodyPart	Number_Intervening_Opponents	Number_Intervening_Teammates	Interference_on_Shooter	outcome	position_xM	position_yM	position_xM_r	position_yM_r	position_xM_std	position_yM_std	position_xM_std_r	position_yM_std_r	BodyPartCode	Interference_on_Shooter_Code	distance_to_goalM	distance_to_centerM	angle	isFoot	isHead	header_distance_to_goalM	High	Low	Medium
14	29	7.73	-4.74	Open Play	Left	1	0	Medium	Goal	45.27	-4.751179245283019	-45.27	4.751179245283019	98.27	29.24882075471698	151.26999999999998	63.24882075471698	1	2	9.07340091811269	4.751179245283019	31.576612122666383	1	0	0.0	0	0	1
20	39	11.22	-6.73	Open Play	Right	2	0	Low	Blocked	41.78	-6.745872641509434	-41.78	6.745872641509434	94.78	27.254127358490564	147.78	61.25412735849056	2	1	13.09179887163966	6.745872641509434	31.01581760052524	1	0	0.0	0	1	0
19	38	13.22	3.74	Open Play	Right	1	0	Medium	Missed	39.78	3.748820754716981	-39.78	-3.748820754716981	92.78	37.74882075471698	145.78	71.74882075471697	2	2	13.741253838387411	3.748820754716981	15.831847205561267	1	0	0.0	0	0	1
16	58	0.75	-15.46	Open Play	Right	1	0	Low	GoalFrame	52.25	-15.496462264150944	-52.25	15.496462264150944	105.25	18.503537735849054	158.25	52.50353773584906	2	1	15.51460095214357	15.496462264150944	87.22915276703712	1	0	0.0	0	1	0
19	59	12.22	9.98	Open Play	Right	2	0	Low	Missed	40.78	10.003537735849056	-40.78	-10.003537735849056	93.78	44.00353773584906	146.78	78.00353773584905	2	1	15.792376870900592	10.003537735849056	39.30444610737101	1	0	0.0	0	1	0
72	15	7.48	-9.73	Open Play	Right	1	0	High	Saved	45.52	-9.752948113207548	-45.52	9.752948113207548	98.52	24.24705188679245	151.51999999999998	58.24705188679245	2	3	12.291069802865769	9.752948113207548	52.51368473832704	1	0	0.0	1	0	0
29	18	8.98	-16.46	Open Play	Right	2	0	Medium	Missed	44.02	-16.49882075471698	-44.02	16.49882075471698	97.02	17.50117924528302	150.01999999999998	51.50117924528302	2	2	18.78434151883637	16.49882075471698	61.44137288503608	1	0	0.0	0	0	1
11	7	10.97	7.73	Open Play	Left	1	0	Medium	Saved	42.03	7.748231132075472	-42.03	-7.748231132075472	95.03	41.74823113207548	148.03	75.74823113207547	1	2	13.430412714286316	7.748231132075472	35.233979801794085	1	0	0.0	0	0	1
54	53	6.98	-6.98	Open Play	Right	1	0	Low	Goal	46.02	-6.996462264150943	-46.02	6.996462264150943	99.02	27.003537735849054	152.01999999999998	61.00353773584906	2	1	9.882858099441082	6.996462264150943	45.06748616374176	1	0	0.0	0	1	0
57	24	14.96	5.99	Open Play	Left	4	1	Low	Blocked	38.04	6.004127358490566	-38.04	-6.004127358490566	91.04	40.00412735849056	144.04	74.00412735849056	1	1	16.11989904859751	6.004127358490566	21.86783244240515	1	0	0.0	0	1	0
30	14	11.72	-0.75	Open Play	Right	2	0	High	Saved	41.28	-0.7517688679245282	-41.28	0.7517688679245282	94.28	33.248231132075475	147.28	67.24823113207547	2	3	11.74408601938782	0.7517688679245282	3.670158219359099	1	0	0.0	1	0	0
69	39	28.43	-10.47	Open Play	Right	5	3	Low	Missed	24.57	-10.494693396226417	-24.57	10.494693396226417	77.57	23.505306603773583	130.57	57.50530660377358	2	1	30.305172652218936	10.494693396226417	20.26119721008416	1	0	0.0	0	1	0
8	29	23.69	-10.23	Open Play	Left	5	2	Medium	Missed	29.31	-10.254127358490566	-29.31	10.254127358490566	82.31	23.74587264150944	135.31	57.74587264150944	1	2	25.814012239172445	10.254127358490566	23.405192189447803	1	0	0.0	0	0	1
